name	ref	highway	quiz_id	stroke	stroke-width	opacity	len_m
Frobisher Street		primary	frobisher-street	#bca79f	1.4	0.78	2112.270084851033
Scarborough Beach Road	75	primary	scarborough-beach-road	#bca79f	1.4	0.78	14235.797655839013
Flynn Street	64	primary	flynn-street	#bca79f	1.4	0.78	841.9405206731262
Howtree Place		primary	howtree-place	#bca79f	1.4	0.78	1010.250356717162
Hill View Terrace		primary	hill-view-terrace	#bca79f	1.4	0.78	2622.838817340273
Berwick Street		primary	berwick-street	#bca79f	1.4	0.78	6081.119042232045
Riseley Street		trunk	riseley-street	#a1887f	1.8	0.82	6134.945773515171
Marmion Street		primary	marmion-street	#bca79f	1.4	0.78	14613.570423304733
Central Avenue		primary	central-avenue	#bca79f	1.4	0.78	2939.423707069783
Walter Road West		primary	walter-road-west	#bca79f	1.4	0.78	9803.51041632777
King William Street		primary	king-william-street	#bca79f	1.4	0.78	1089.2402033993126
Shenton Avenue		primary	shenton-avenue	#bca79f	1.4	0.78	4939.3937459053595
Collier Road		primary	collier-road	#bca79f	1.4	0.78	7340.365840347904
Port Beach Road		primary	port-beach-road	#bca79f	1.4	0.78	4030.4131059020037
Victoria Street		primary	victoria-street	#bca79f	1.4	0.78	1533.0321254350042
Swan View Road		primary	swan-view-road	#bca79f	1.4	0.78	1537.2456302251824
Old York Road		primary	old-york-road	#bca79f	1.4	0.78	1971.9036610946837
Manning Road	26	primary	manning-road	#bca79f	1.4	0.78	12961.757780273889
Oats Street		primary	oats-street	#bca79f	1.4	0.78	2684.594293580336
Amelia Street		primary	amelia-street	#bca79f	1.4	0.78	1966.4812368142282
Widgee Road		primary	widgee-road	#bca79f	1.4	0.78	1165.2912314201778
Coode Street		primary	coode-street	#bca79f	1.4	0.78	3653.012615947193
Fairbrother Street	55	primary	fairbrother-street	#bca79f	1.4	0.78	774.8951387536067
Royal Street		primary	royal-street	#bca79f	1.4	0.78	1994.309847706661
Cockburn Road	12	primary	cockburn-road	#bca79f	1.4	0.78	13030.397693872681
Hodges Drive		primary	hodges-drive	#bca79f	1.4	0.78	5268.1800519694125
Stubbs Terrace		primary	stubbs-terrace	#bca79f	1.4	0.78	3086.5603592571933
Roberts Road		primary	roberts-road	#bca79f	1.4	0.78	1887.122415922125
Johnson Street	1	trunk	johnson-street	#a1887f	1.8	0.82	806.8092160730546
Murdoch Drive		primary	murdoch-drive	#bca79f	1.4	0.78	8628.435424741429
Odin Road		primary	odin-road	#bca79f	1.4	0.78	1662.2954552093174
Lloyd Street		primary	lloyd-street	#bca79f	1.4	0.78	4147.330336587784
Great Northern Highway	1;95;203	trunk	great-northern-highway	#a1887f	1.8	0.82	41362.0475762277
Southern River Road		primary	southern-river-road	#bca79f	1.4	0.78	9826.767215448905
Spring Road		primary	spring-road	#bca79f	1.4	0.78	1149.6531216563303
Abernethy Road	55	primary	abernethy-road	#bca79f	1.4	0.78	8604.50098640467
Russell Street		primary	russell-street	#bca79f	1.4	0.78	2379.743239881689
Toodyay Road	50	primary	toodyay-road	#bca79f	1.4	0.78	9861.82917742444
Garden Street		primary	garden-street	#bca79f	1.4	0.78	6296.871973896922
Stoneham Street	55	primary	stoneham-street	#bca79f	1.4	0.78	503.7058937780491
Dixon Road	22	primary	dixon-road	#bca79f	1.4	0.78	8359.800644429237
Bannister Road		primary	bannister-road	#bca79f	1.4	0.78	9804.451518918166
Ord Street	12	primary	ord-street	#bca79f	1.4	0.78	421.69389620264053
Collier Link		primary	collier-link	#bca79f	1.4	0.78	2121.170692564461
Embleton Avenue		primary	embleton-avenue	#bca79f	1.4	0.78	1757.6402876901789
Jandakot Road		primary	jandakot-road	#bca79f	1.4	0.78	7854.65734951755
Yale Road		primary	yale-road	#bca79f	1.4	0.78	2728.158690265981
Woodrow Avenue		primary	woodrow-avenue	#bca79f	1.4	0.78	2565.50436745585
Council Avenue		primary	council-avenue	#bca79f	1.4	0.78	3640.5817797314894
Whatley Crescent		primary	whatley-crescent	#bca79f	1.4	0.78	5491.710223340603
Watkins Road	22	primary	watkins-road	#bca79f	1.4	0.78	2376.0411156025793
Stephenson Avenue	64	primary	stephenson-avenue	#bca79f	1.4	0.78	4126.799942817447
